script starting at 28/10/2018 19:47:50 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)

#ping number in file?

157.240.22.35  , facebook.com                         , 15.020  , 28/10/2018 19:59:13 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.247  , 28/10/2018 19:59:15 PDT
10.0.1.1       , 10.0.1.1                             , 3.381   , 28/10/2018 19:59:28 PDT
216.58.194.206 , google.com                           , 14.904  , 28/10/2018 19:59:30 PDT
98.137.246.7   , yahoo.com                            , 31.922  , 28/10/2018 19:59:32 PDT
104.31.94.59   , aline.com                            , 15.312  , 28/10/2018 19:59:34 PDT
64.28.108.203  , vatican.com                          , 57.589  , 28/10/2018 19:59:45 PDT
157.240.22.35  , facebook.com                         , 14.086  , 28/10/2018 19:59:47 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 16.422  , 28/10/2018 19:59:49 PDT
10.0.1.1       , 10.0.1.1                             , 3.708   , 28/10/2018 20:00:01 PDT
216.58.194.206 , google.com                           , 18.509  , 28/10/2018 20:00:03 PDT
98.137.246.7   , yahoo.com                            , 37.460  , 28/10/2018 20:00:05 PDT
104.31.94.59   , aline.com                            , 13.169  , 28/10/2018 20:00:13 PDT
64.28.108.203  , vatican.com                          , 57.601  , 28/10/2018 20:00:24 PDT
157.240.22.35  , facebook.com                         , 12.754  , 28/10/2018 20:00:27 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.195  , 28/10/2018 20:00:29 PDT
10.0.1.1       , 10.0.1.1                             , 0.864   , 28/10/2018 20:00:41 PDT
216.58.194.206 , google.com                           , 13.573  , 28/10/2018 20:00:43 PDT
98.137.246.7   , yahoo.com                            , 33.804  , 28/10/2018 20:00:45 PDT
104.31.94.59   , aline.com                            , 11.850  , 28/10/2018 20:00:47 PDT
64.28.108.203  , vatican.com                          , 58.618  , 28/10/2018 20:00:58 PDT
157.240.22.35  , facebook.com                         , 14.728  , 28/10/2018 20:01:00 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.476  , 28/10/2018 20:01:02 PDT
10.0.1.1       , 10.0.1.1                             , 2.047   , 28/10/2018 20:01:14 PDT
216.58.194.206 , google.com                           , 14.512  , 28/10/2018 20:01:16 PDT
98.137.246.7   , yahoo.com                            , 34.218  , 28/10/2018 20:01:18 PDT
