script starting at 28/10/2018 14:07:52 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)
98.137.246.8 , yahoo.com , 32.651 , 28/10/2018 14:20:54 PDT  
104.31.95.59 , aline.com , 14.907 , 28/10/2018 14:20:56 PDT  
64.28.108.203 , vatican.com , 57.142 , 28/10/2018 14:21:07 PDT  
157.240.22.35 , facebook.com , 12.892 , 28/10/2018 14:21:09 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.121 , 28/10/2018 14:21:11 PDT  
10.0.1.1 , 10.0.1.1 , 1.823 , 28/10/2018 14:21:23 PDT  
172.217.6.78 , google.com , 13.095 , 28/10/2018 14:21:25 PDT  
98.137.246.8 , yahoo.com , 34.562 , 28/10/2018 14:21:27 PDT  
104.31.95.59 , aline.com , 13.984 , 28/10/2018 14:21:29 PDT  
64.28.108.203 , vatican.com , 57.174 , 28/10/2018 14:21:40 PDT  
157.240.22.35 , facebook.com , 12.987 , 28/10/2018 14:21:42 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.247 , 28/10/2018 14:21:44 PDT  
10.0.1.1 , 10.0.1.1 , 2.455 , 28/10/2018 14:21:57 PDT  
172.217.6.78 , google.com , 12.521 , 28/10/2018 14:21:59 PDT  
98.137.246.8 , yahoo.com , 32.643 , 28/10/2018 14:22:01 PDT  
104.31.95.59 , aline.com , 13.057 , 28/10/2018 14:22:03 PDT  
64.28.108.203 , vatican.com , 57.332 , 28/10/2018 14:22:14 PDT  
157.240.22.35 , facebook.com , 13.066 , 28/10/2018 14:22:16 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.158 , 28/10/2018 14:22:18 PDT  
10.0.1.1 , 10.0.1.1 , 1.180 , 28/10/2018 14:22:30 PDT  
216.58.194.206 , google.com , 13.414 , 28/10/2018 14:22:32 PDT  
98.137.246.8 , yahoo.com , 32.132 , 28/10/2018 14:22:34 PDT  
104.31.95.59 , aline.com , 15.042 , 28/10/2018 14:22:36 PDT  
64.28.108.203 , vatican.com , 57.068 , 28/10/2018 14:22:47 PDT  
157.240.22.35 , facebook.com , 12.611 , 28/10/2018 14:22:49 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.008 , 28/10/2018 14:22:52 PDT  
10.0.1.1 , 10.0.1.1 , 1.206 , 28/10/2018 14:23:04 PDT  
216.58.194.206 , google.com , 13.040 , 28/10/2018 14:23:06 PDT  
98.137.246.8 , yahoo.com , 33.090 , 28/10/2018 14:23:08 PDT  
104.31.95.59 , aline.com , 12.643 , 28/10/2018 14:23:10 PDT  
64.28.108.203 , vatican.com , 56.496 , 28/10/2018 14:23:21 PDT  
157.240.22.35 , facebook.com , 13.340 , 28/10/2018 14:23:23 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.458 , 28/10/2018 14:23:25 PDT  
10.0.1.1 , 10.0.1.1 , 1.366 , 28/10/2018 14:23:37 PDT  
216.58.194.206 , google.com , 13.088 , 28/10/2018 14:23:39 PDT  
98.137.246.8 , yahoo.com , 32.199 , 28/10/2018 14:23:41 PDT  
104.31.95.59 , aline.com , 13.018 , 28/10/2018 14:23:43 PDT  
64.28.108.203 , vatican.com , 56.746 , 28/10/2018 14:23:54 PDT  
